FUNKCIJA,METODA,PARAMETER,VREDNOST
A,BISEKCIJA,EPS,0.000100
A,BISEKCIJA,STEVILO ITERACIJ,0
A,BISEKCIJA,RESITEV,-7.857055
A,BISEKCIJA,EPS,0.000100
A,BISEKCIJA,STEVILO ITERACIJ,0
A,BISEKCIJA,RESITEV,-4.668625
A,BISEKCIJA,EPS,0.000100
A,BISEKCIJA,STEVILO ITERACIJ,0
A,BISEKCIJA,RESITEV,-1.864075
A,BISEKCIJA,EPS,0.000100
A,BISEKCIJA,STEVILO ITERACIJ,0
A,BISEKCIJA,RESITEV,0.517745
B,BISEKCIJA,EPS,0.000100
B,BISEKCIJA,STEVILO ITERACIJ,4
B,BISEKCIJA,RESITEV,-1.697473
B,BISEKCIJA,EPS,0.000100
B,BISEKCIJA,STEVILO ITERACIJ,4
B,BISEKCIJA,RESITEV,1.855583
C,BISEKCIJA,EPS,0.000100
C,BISEKCIJA,STEVILO ITERACIJ,0
C,BISEKCIJA,RESITEV,0.567095
D,BISEKCIJA,EPS,0.000100
D,BISEKCIJA,STEVILO ITERACIJ,0
D,BISEKCIJA,RESITEV,1.497395
A,SEKANTNA,EPS,0.000100
A,SEKANTNA,STEVILO ITERACIJ,0
A,SEKANTNA,RESITEV,-7.857022
A,SEKANTNA,EPS,0.000100
A,SEKANTNA,STEVILO ITERACIJ,0
A,SEKANTNA,RESITEV,-4.668557
A,SEKANTNA,EPS,0.000100
A,SEKANTNA,STEVILO ITERACIJ,0
A,SEKANTNA,RESITEV,-1.863995
A,SEKANTNA,EPS,0.000100
A,SEKANTNA,STEVILO ITERACIJ,0
A,SEKANTNA,RESITEV,0.517757
B,SEKANTNA,EPS,0.000100
B,SEKANTNA,STEVILO ITERACIJ,0
B,SEKANTNA,RESITEV,-1.697472
B,SEKANTNA,EPS,0.000100
B,SEKANTNA,STEVILO ITERACIJ,0
B,SEKANTNA,RESITEV,1.855585
C,SEKANTNA,EPS,0.000100
C,SEKANTNA,STEVILO ITERACIJ,0
C,SEKANTNA,RESITEV,0.567143
D,SEKANTNA,EPS,0.000100
D,SEKANTNA,STEVILO ITERACIJ,0
D,SEKANTNA,RESITEV,1.497300
A,NEWTON,EPS,0.000100
A,NEWTON,STEVILO ITERACIJ,0
A,NEWTON,RESITEV,-7.857022
A,NEWTON,EPS,0.000100
A,NEWTON,STEVILO ITERACIJ,0
A,NEWTON,RESITEV,-4.668557
A,NEWTON,EPS,0.000100
A,NEWTON,STEVILO ITERACIJ,0
A,NEWTON,RESITEV,-1.863995
A,NEWTON,EPS,0.000100
A,NEWTON,STEVILO ITERACIJ,0
A,NEWTON,RESITEV,0.517757
B,NEWTON,EPS,0.000100
B,NEWTON,STEVILO ITERACIJ,0
B,NEWTON,RESITEV,-1.697472
B,NEWTON,EPS,0.000100
B,NEWTON,STEVILO ITERACIJ,0
B,NEWTON,RESITEV,1.855585
C,NEWTON,EPS,0.000100
C,NEWTON,STEVILO ITERACIJ,0
C,NEWTON,RESITEV,0.567143
D,NEWTON,EPS,0.000100
D,NEWTON,STEVILO ITERACIJ,0
D,NEWTON,RESITEV,1.497300
